1000 3
18 21 3
1 3 2
3 6 3
23 2 2
16 20 2
7 10 2
5 8 3
14 16 3
0 3 1
1 3 2
0 2 3
11 15 3
12 16 2
10 15 2
17 21 3
8 9 1
22 0 2
8 11 2
8 12 1
20 23 1
12 15 2
23 2 1
12 15 3
16 19 1
1 4 3
16 20 1
23 2 1
9 12 2
23 3 1
10 13 1
16 18 3
9 12 3
4 8 3
2 5 2
3 6 1
21 0 2
2 5 2
16 20 3
16 20 1
7 11 2
16 18 3
22 23 2
0 5 1
17 18 3
5 7 3
11 14 3
0 3 2
19 20 3
1 2 2
6 9 1
14 17 1
19 21 2
16 20 3
2 4 1
20 22 2
9 12 2
2 3 1
13 16 2
17 22 1
2 5 3
16 22 3
17 22 1
21 0 1
5 9 3
11 15 1
0 4 2
12 14 1
13 17 2
22 23 2
15 19 2
8 12 2
5 7 3
1 3 2
22 1 3
9 12 2
20 0 3
9 13 3
15 18 3
0 3 3
4 8 2
1 3 2
2 5 3
8 11 1
13 16 1
5 6 1
2 6 1
18 21 2
1 5 3
7 9 2
17 19 2
6 10 3
23 1 3
3 5 3
6 9 3
14 17 2
21 0 1
4 6 3
1 5 1
1 5 1
14 15 1
21 1 1
6 11 1
6 9 3
13 15 1
4 4 2
20 0 2
5 8 3
